idiom	class	section	subsection	head group>head	class>section>subsection>head group>head	#	semantic-type	definition	citation	source
Лускає голова	matter	organic	sensation	sensation in general>physical pain	matter>organic>sensation>sensation in general>physical pain	378	фраз. сполучення	дуже болить голова;		
Мороз лускає	matter	organic	sensation	special sensation>heat>cold	matter>organic>sensation>special sensation>heat>cold	383	фраз. єдність	дуже сильний мороз	Було оце узимку, зимними деньми [днями], надворі мороз лускає	Марко Вовчок, VI, 1956, 220
Змерзнути (змерзти) на качан	matter	organic	sensation	special sensation>heat>cold	matter>organic>sensation>special sensation>heat>cold	383	фраз. сполучення	задубіти, втратити гнучкість від холоду	Бігала [Маланка] по селу, змокла, на качан змерзла	Михайло Коцюбинський, II, 1955, 33
Мороз ціпить	matter	organic	sensation	special sensation>heat>cold	matter>organic>sensation>special sensation>heat>cold	383	фраз. сполучення	тримається великий мороз	Коло Морозовської повіяли теплі вітри, пригріло сонце, почав підтавати сніг, але ночами ще ціпили дошкульні морози	Василь Кучер, Золоті руки, 1948, 54
Навальна зима	matter	organic	sensation	special sensation>heat>cold	matter>organic>sensation>special sensation>heat>cold	383	фразеологізоване словосполучення	сніговита зима;		
Проквасити душу	matter	organic	sensation	special sensation>taste>sourness	matter>organic>sensation>special sensation>taste>sourness	397	фраз. єдність	задовольнити потребу у квашеному; поїсти чогось кислого	Оце вам м'яка паляниця,.. а це і ягідок привезла, — може схочете проквасити душу	Панас Мирний, I, 1954, 167
Винний спирт	matter	organic	sensation	special sensation>taste>sourness	matter>organic>sensation>special sensation>taste>sourness	397	фразеологізоване словосполучення	безбарвна рідина з характерним запахом, що добувається для виготовлення алкогольних напоїв та для технічних потреб; етиловий спирт		
Винна кислота	matter	organic	sensation	special sensation>taste>sourness	matter>organic>sensation>special sensation>taste>sourness	397	фразеологізоване словосполучення	органічна кислота, що міститься в багатьох ягодах; добувається з винного каменю і використовується в хімії та медицині	В різних фруктах містяться яблучна, лимонна і винна кислоти, а також ароматичні речовини	Українські страви, 1957, 24
Первозданна тиша	matter	organic	sensation	special sensation>sound>sound in general>silence	matter>organic>sensation>special sensation>sound>sound in general>silence	403	фраз. сполучення	абсолютна, глибока тиша	Густий брязкіт наповнював первозданну тишу степів	Натан Рибак, Помилка.., 1940, 66
Печать мовчання	matter	organic	sensation	special sensation>sound>sound in general>silence	matter>organic>sensation>special sensation>sound>sound in general>silence	403	фраз. сполучення	заборона розмовляти; додержання повної тиші	Там, де на всьому лежить печать мовчання,.. Вість людям подають кайдани голосні	Леся Українка, I, 1951, 165
Цвинтарна тиша	matter	organic	sensation	special sensation>sound>sound in general>silence	matter>organic>sensation>special sensation>sound>sound in general>silence	403	фраз. сполучення	мертва, зловісна, моторошна тиша; тихо, як на цвинтарі	Могилки, порослі бур'янами, похилені хрести, спалені дерева і якась особлива цвинтарна тиша неприємно вразили Корольова	Анатолій Шиян, Магістраль, 1934, 7
Пташиний базар	matter	organic	sensation	special sensation>sound>sound in general>loudness	matter>organic>sensation>special sensation>sound>sound in general>loudness	404	фраз. єдність	галас, місце на морському березі, де оселюються величезною масою птахи	Хоча цей скелястий, похмурий, майже без дерев острів і звався пташиним базаром, проте там ніхто нічого не продавав і не купував.. Просто там завжди збиралася величезна кількість різних птахів	Оксана Іваненко, Ліс. казки, 1954, 147
Надирати (надерти, надрати) горло (глотку)	matter	organic	sensation	special sensation>sound>sound in general>loudness	matter>organic>sensation>special sensation>sound>sound in general>loudness	404	фраз. сполучення	дуже голосно говорячи, сильно кричачи, лаючи, стомлювати горло	Хоч Ворона, стоячи при вході до Гадючиної нори, надирала собі горло, лаючи та проклинаючи погану розбійницю, Гадюка в норі хрупала її дитинятко	Іван Франко, IV, 1950, 74
Надривати (надірвати) горло (глотку)	matter	organic	sensation	special sensation>sound>sound in general>loudness	matter>organic>sensation>special sensation>sound>sound in general>loudness	404	фраз. сполучення	дуже голосно кричачи, говорячи, стомлювати горло	Пісня затихла. Винувато я підійшов до Івана Марковича. — Не виходить у нас, Іване Марковичу. І роти розкриваємо, і глотки надриваємо, а віз і досі там	Юрій Збанацький, Малин. дзвін, 1958, 229
[Аж] у вухах лящить	matter	organic	sensation	special sensation>sound>sound in general>loudness	matter>organic>sensation>special sensation>sound>sound in general>loudness	404	фраз. сполучення	про сприйняття різких, пронизливих звуків	Як заговорять разом усі ув один голос, так нічого і не второпаєш: мов на лотоках вода шумить, аж у вухах лящить!	Квітка-Основ'яненко, II, 1956, 12
На рипу (рипах)	matter	organic	sensation	special sensation>sound>specific sounds>stridor	matter>organic>sensation>special sensation>sound>specific sounds>stridor	410	фраз. сполучення	який при користуванні рипить	Василь уже сам, не питаючись нікого, заказав шевцеві чоботи, щоб і на одну ногу, і на рипу, і на високих підборах	Панас Мирний, IV, 1955, 117
Перевтілюватися (перевтілитися) в слух	matter	organic	sensation	special sensation>sound>perception of sound>hearing	matter>organic>sensation>special sensation>sound>perception of sound>hearing	418	фраз. єдність	дуже уважно, напружено слухати	Мої нерви вже так напнулись, як струни, я здригався й перевтілювався в слух від найменшого шелесту й звуку	Петро Козланюк, Весн. шум, 1952, 103
Насторожувати (насторожити) вуха (уші, вухо, слух, увагу)	matter	organic	sensation	special sensation>sound>perception of sound>hearing	matter>organic>sensation>special sensation>sound>perception of sound>hearing	418	фраз. єдність	напружено, уважно прислухатися (про людину)	Заціплюють [селяни] зуби з холоду, .. вирячують очі і насторожують вуха, щоб хоч що трохи почути з того, що говориться в коршмі [корчмі]	Іван Франко, VIII, 1952, 9
Ходити на підслухи (по підслухах)	matter	organic	sensation	special sensation>sound>perception of sound>hearing	matter>organic>sensation>special sensation>sound>perception of sound>hearing	418	фраз. єдність	підслуховувати	Я наперед знаю, що буде далі. Хочете — скажу! — Тася змовкла, нахмурилась. Далі хитнула головою. Презирливо, гаряче: — І ото не сором ходити по підслухах!	Степан Васильченко, II, 1959, 313
Насторожувати (насторожити) вуха	matter	organic	sensation	special sensation>sound>perception of sound>hearing	matter>organic>sensation>special sensation>sound>perception of sound>hearing	418	фраз. сполучення	прислухаючись, піднімати, напружувати вуха (про тварину)	Раптом коні зупинились, тривожно насторожуючи вуха	Ярослав Галан, Гори.., 1956, 13
Тугуватий на вухо	matter	organic	sensation	special sensation>sound>perception of sound>deafness	matter>organic>sensation>special sensation>sound>perception of sound>deafness	419	фраз. єдність	дещо, трохи глухий; глухуватий	І Крук упевнився — не слід йому співати. Не мав-бо він ні голосу, ні слуху, Та ще до того і на праве вухо Був тугуватий	Петро Дорошко, Літа.., 1957, 179
Поринулий у темряву	matter	organic	sensation	special sensation>light>light in general	matter>organic>sensation>special sensation>light>light in general	427	фразеологізоване словосполучення	темний, неосвітлений	На сцені умовне і водночас ілюзорне середовище — сірі сукна у нерівномірних зборках. В поринулій у темряву драпіровці вгадується глухий ліс	Мистецтво, 5, 1968, 17
Закрашатися (закрашуватися, закраситися) рум'янцем	matter	organic	sensation	special sensation>light>specific light>redness	matter>organic>sensation>special sensation>light>specific light>redness	434	фраз. сполучення	червоніти (на обличчі), соромлячись, хвилюючись і т. ін	Вона рум'янцем уся закрасилася, як те слово почула	Марко Вовчок, I, 1955, 204
Грати всіма барвами веселки	matter	organic	sensation	special sensation>light>specific light>variegation	matter>organic>sensation>special sensation>light>specific light>variegation	440	фраз. сполучення	переливатися багатьма різними кольорами	На столах грав усіма барвами веселки кришталь	Петро Панч, В дорозі, 1959, 150
Всіма кольорами райдуги	matter	organic	sensation	special sensation>light>specific light>variegation	matter>organic>sensation>special sensation>light>specific light>variegation	440	фразеологізоване словосполучення	багатьма різними барвами	Бризки фонтанів, що переливалися на сонці всіма кольорами райдуги, засліпили враз очі	Оксана Іваненко, Тарасові шляхи, 1954, 69
Неозброєним оком	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	без допомоги оптичних приладів	Вже неозброєним оком можна було розрізнити людей у шлюпці	Микола Трублаїні, Лахтак, 1953, 7
Виглядіти очі	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	втомити очі, ослабити зір, довго, пильно виглядаючи когось, щось	Не прийшло до Ганни щастя тим великим, битим шляхом, тільки вона вигляділа свої очі, виглядаючи	Нечуй-Левицький, I, 1956, 108
Дивитися (подивитися) вперед	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	 дивитися в майбутнє	Особливо в останній місяць воно [серце] розвинуло свою «діяльність» і мимохіть дивишся назад вже, а не вперед	Михайло Коцюбинський, III, 1956, 381
Стрічати (стрінути, стріти) поглядом (погляд)	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	 дивитися в очі кому-небудь	Твій погляд я стрів чорнобровий, У погляді — жар волотий	Максим Рильський, Мости, 1948, 58
Докинути оком (очима)	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	досягти зором, поглядом	До маленьких, низеньких [квіток] сама нахилюсь, до високих очима докину	Леся Українка, I, 1951, 222
Як на долоні	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	дуже добре видно	Вони мене не бачать, а мені їх обох видно, як на долоні	Нечуй-Левицький, II, 1956, 15
Очі повиверталися	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	очі широко розкрилися, вирячилися	Та й німець там.., коли б ви, діду, побачили. Низьке,.. губи товсті, зуби чорні, а очі — гак всі і повиверталися	Панас Мирний, I, 1954, 194
Перемовлятися очима	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	повідомляти що-небудь один одному без слів, поглядом	За дверима стало тихо, мабуть, перемовлялися тільки очима	Петро Панч, О. Пархоменко, 1939, 65
Скільки оком докинеш	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. єдність	скільки доступно, можна побачити, досягти зором	Дивись! Скільки оком докинеш, усе чорнів та й чорніс наша рілля, — мовила Одарка	Любов Яновська, I, 1959, 419
Промірювати (проміряти, проміряти) очима (оком, поглядом, поглядами)	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. сполучення	уважно, пильно дивитися на кого-, що-небудь, вдивлятися кудись	Коли я прийшов, капітан проміряв мене строгими сірими очима, запитав чітко, по-військовому: — Як почуваєте себе на коні?	Василь Земляк, Гнівний Стратіон, 1960, 60
Прогледіти (проглядіти) [всі] очі	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фраз. сполучення	вдивляючись кудись, з нетерпінням, довго прождати кого-, що-небудь	В той день Оксана прогледіла на дорогу всі очі	Петро Панч, Мир, 1937, 14
Видивитися очі	matter	organic	sensation	special sensation>light>perceptions of light>vision	matter>organic>sensation>special sensation>light>perceptions of light>vision	441	фразеологізоване словосполучення	ослабити, зіпсувати зір, дуже довго і пильно дивлячись на кого-, що-небудь	Звідки ті бійці, Хлопці-молодці, Що дівчата до півночі Видивились карі очі На околиці?	Андрій Малишко, I, 1956, 247
Слізьми злитися	matter	organic	sensation	special sensation>light>perceptions of light>blindness	matter>organic>sensation>special sensation>light>perceptions of light>blindness	442	ідіома	осліпнути	Очі! очі! Нащо ви здалися, Чом ви змалку не висохли, Слізьми не злилися?	Тарас Шевченко, I, 1963, 239
Сліпа курка	matter	organic	sensation	special sensation>light>perceptions of light>blindness	matter>organic>sensation>special sensation>light>perceptions of light>blindness	442	фраз. єдність	про людину, що погано бачить або короткозору (у 1 знач.)		
В очах жовтіє	matter	organic	sensation	special sensation>light>perceptions of light>blindness	matter>organic>sensation>special sensation>light>perceptions of light>blindness	442	фраз. сполучення	втрачається здатність добре бачити через важкий фізичний стан	Ївга стоїть, як дерев'яна, труситься, а в очах жовтіє	Квітка-Основ'яненко, II, 1956, 273
Упливати (упливти) за водою	matter	organic	sensation	special sensation>light>perceptions of light>disappearance	matter>organic>sensation>special sensation>light>perceptions of light>disappearance	449	фраз. єдність	зменшуватися, слабшати, зникати	Поволі вся лють Рідкодуба танула, за водою кудись упливала	Іван Кириленко, Вибр., 1960, 231
Пропасти ні за понюшку табаки (тютюну)	matter	organic	sensation	special sensation>light>perceptions of light>disappearance	matter>organic>sensation>special sensation>light>perceptions of light>disappearance	449	фраз. сполучення	пропасти даремно	Аякже, аякже, таж обсмалили б, як кабана... пропала б душа християнська ні за понюшку табаки	Михайло Коцюбинський, I, 1955, 378
Впадати (впасти) в непам'ять	intellect	formation of ideas	operations of intellect in general	intellect	intellect>formation of ideas>operations of intellect in general>intellect	450	фраз. сполучення	втрачати свідомість, непритомніти	Йому так стало прикро, що хотілося впасти знов у непам'ять, ..до болю заплющив очі, але свідомість уже не покидала його	Петро Козланюк, Ю. Крук, 1957, 500
Без півлітра (півлітри) не розберешся (не розбереш)	intellect	formation of ideas	operations of intellect in general	intellect	intellect>formation of ideas>operations of intellect in general>intellect	450	фраз. сполучення	дуже важко зрозуміти що-небудь, розібратись у чомусь	Діла, брат. Такі діла, що без півлітри не розбереш	Юрій Збанацький, Малин. дзвін, 1958, 11
Забрести в голову	intellect	formation of ideas	operations of intellect in general	thought	intellect>formation of ideas>operations of intellect in general>thought	451	фраз. сполучення	з'явитися в думках	За ці гроші ми не тільки дві ферми збудуємо, а ще й пекарню, — Пекарню? — схопився від несподіванки Сагайдак і заходив по кімнаті. — Що це тобі забрело в голову?	Василь Кучер, Трудна любов, 1960, 391
Окидати (окинути) думкою	intellect	formation of ideas	operations of intellect in general	thought	intellect>formation of ideas>operations of intellect in general>thought	451	фраз. сполучення	думати, обдумувати	Спокійно окинув думкою: — Ні, тепер уже ніщо не стане на заваді…	Степан Васильченко, II, 1959, 101
Нудоту розводити	intellect	formation of ideas	precursory conditions and operations	incuriosity	intellect>formation of ideas>precursory conditions and operations>incuriosity	456	фраз. сполучення	викликати, навівати нудьгу, апатію	З саду чути баян. [Гаврило:] О, чуєш, як Троша виводить.. їй веселої треба, а він нудоту розводить	Олександр Корнійчук, II, 1955, 176
Мотати на вус	intellect	formation of ideas	precursory conditions and operations	attention	intellect>formation of ideas>precursory conditions and operations>attention	457	фраз. єдність	брати до уваги, запам'ятовувати з певною метою	[Хома:] О, друзі, братіє! Міркуйте та на вус мотайте	Марко Кропивницький, V, 1959, 280
На злобу дня	intellect	formation of ideas	precursory conditions and operations	attention	intellect>formation of ideas>precursory conditions and operations>attention	457	фраз. сполучення	на злободенну тему	У своїх оповіданнях він [С. Журахович] відгукується на злобу дня, по-журналістському чутливо прислухається до пульсу життя країни	Вітчизна, 1, 1961, 190
Злоба дня	intellect	formation of ideas	precursory conditions and operations	attention	intellect>formation of ideas>precursory conditions and operations>attention	457	фраз. сполучення	те, що привертає увагу, цікавить усіх у даний момент	В кожну боротьбу за кожну злобу дня треба вкладати нерозривний зв'язок з корінними цілями	Ленін, 19, 1950, 25
В одно вухо (одним вухом) впускати (впустити), а в друге (другим) випускати (випустити)	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. єдність	неуважно слухати; легковажно ставитися до сказаного	А про ту заморську нісенітницю, то я в одно ухо впускала, а в друге випускала, та й зовсім-таки не знаю	Марко Вовчок, I, 1955, 104
І вусом не рушити	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. єдність	зовсім не звернути уваги, ніяк не зреагувати	Почнеться яка бесіда, а Марина.. зажартує, то дівки сміються, а парубок і вусом не рушить	Наталія Кобринська, Вибр., 1954, 167
Ходити кругом та навколо	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. єдність	не доходити до суті справи	І давайте не ухилятися вбік, а то все ходимо кругом та навколо	Андрій Головко, II, 1957, 545
І оком (усом) не моргати (не моргнути)	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. єдність	не звертати ніякої уваги	Цу-цу, Рябко... на-на! — гукнули, як на ґвалт. А наш Рябко тобі і усом не моргає	Гулак-Артемовський, Байки.., 1958, 53
Розкидатися словами	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. сполучення	бути необачним у висловлюваннях	Батька не на жарт стривожила ця мова дочки, бо він знав, що в неї не було звички розкидатися сильними словами	Андрій Головко, II, 1957, 586
Пускати (пустити) на самоплив	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. сполучення	не надавати належної уваги керівництву чим-небудь, плануванню чогось	Поповнення партійних рядів — справа важлива і відповідальна. Її не можна пускати на самоплив або перекладати на плечі позаштатних комісій	Комуніст України, 11, 1964, 28
Слухати через верх	intellect	formation of ideas	precursory conditions and operations	inattention	intellect>formation of ideas>precursory conditions and operations>inattention	458	фраз. сполучення	слухати неуважно, не задумуючись, не вникаючи в сказане; нехтувати чимось	Як батько казав: «не важся за його йти», то я слухала його через верх	Ганна Барвінок, Опов.., 1902, 258
Не дрімати	intellect	formation of ideas	precursory conditions and operations	care	intellect>formation of ideas>precursory conditions and operations>care	459	фраз. єдність	бути пильним, діяльним, перебувати в стані готовності що-небудь робити	Галя тим часом сама не дрімала,.. вона кинулась до матері й стала її сльозами благати, щоб не губила її краси, сили	Панас Мирний, II, 1954, 241
Держати (тримати) вухо гостро	intellect	formation of ideas	precursory conditions and operations	care	intellect>formation of ideas>precursory conditions and operations>care	459	фраз. єдність	бути пильним, уважно стежити за ким-небудь		
Дати зівка	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	ідіома	через неуважність, розгубленість тощо не помітити чого-небудь, пропустити нагоду, зручний випадок і т. ін.; проґавити	[Меланія Григорівна:] От і дав зівка старий! Зовсім парова мельниця [млин] була наша, а тепер не наша... Поскупивсь	Марко Кропивницький, IV, 1959, 193
Зметати на живу нитку	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	ідіома	зшити як-небудь, аби трималося		
Зметаний на живу нитку	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	ідіома	зшитий як-небудь, аби трималося	Увечері тілько Василь сам про себе лаяв одежу, що на його вже не приходилася та чимало і зносилася: рукава трохи не доходили до ліктів, стан насеред спини, одна пола розірвана зметана на живу нитку	Панас Мирний, IV, 1955, 117
Спустивши рукава (рукави) працювати	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	фраз. єдність	нехотя, не стараючись добре виконувати роботу	Я, знаєте, не люблю працювати абияк, спустивши рукава	Юрій Збанацький, Ліс. красуня, 1955, 133
Як курка лапою	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	фраз. єдність	про що-небудь виконуване, виконане незграбно, неакуратно	Оце книжки, а оце я так пишу — дивіться, гарно? Як курка лапою все одно	Юрій Яновський, V, 1959, 160
Повипадати з голови	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	фраз. сполучення	забутися (про все або багато чого-небудь)	В мене вже все повипадало з голови, що ти [мені] читав	Нечуй-Левицький, III, 1956, 89
Чортзна (хтозна) по-якому	intellect	formation of ideas	precursory conditions and operations	neglect	intellect>formation of ideas>precursory conditions and operations>neglect	460	фраз. сполучення	не так, як годиться	Стукнемось так, щоб аж ворогам було тяжко, і нехай лучче [краще] про нас кобзар співає пісню, аніж розійтись чортзна по-якому!	Пантелеймон Куліш, Вибр., 1969, 106
Попотоптати стежки	intellect	formation of ideas	precursory conditions and operations	inquiry	intellect>formation of ideas>precursory conditions and operations>inquiry	461	фраз. сполучення	шукати підхід до кого-небудь тривалий час	У ті часи нелегко було знайти жінку такому, як я — безбатченкові та ще й безземельному. Попотоптав я.. стежки, поки вговорив одну дурепу, тобто бабу	Юрій Збанацький, Малин. дзвін, 1958, 7
Шарити очима	intellect	formation of ideas	precursory conditions and operations	inquiry	intellect>formation of ideas>precursory conditions and operations>inquiry	461	фраз. сполучення	шукаючи кого-, що-небудь, пильно придивлятися, стежити	Івась покрався сам. Бистро його очі бігали по траві, по будяках, він шарив ними і все подавався уперед	Панас Мирний, IV, 1955, 12
Взяти на приманку	intellect	communication of ideas	modes of communication	dupe	intellect>communication of ideas>modes of communication>dupe	463	фраз. сполучення	обманути	Оточили [махновці] всю сходку, ніби б то свої, червоні козаки прийшли, послухали і всіх потім, хто за продрозверстку виступав, тут же на майдані — на січку! Весь, кажуть, комнезам поліг. — Так це вони й нас на таку приманку хотіли взяти? — не міг все ще повірити Маркіян	Олесь Гончар, II, 1959, 242
За сімома печатками	intellect	formation of ideas	materials for reasoning	impossibility	intellect>formation of ideas>materials for reasoning>impossibility	471	ідіома	що-небудь недоступне для користування або розуміння	Книга за сімома печатками	Наука і життя, 4, 1964, 3
Заказаний овоч	intellect	formation of ideas	materials for reasoning	impossibility	intellect>formation of ideas>materials for reasoning>impossibility	471	фраз. єдність	про щось привабливе, але заказане, недозволене	З майором Кларком усе заповідалося на гру. Трохи легковажності, трохи кокетства, трохи недозволеного (заказаний овоч завжди солодший!)	Павло Загребельний, Шепіт, 1966, 317
Сон наяву	intellect	formation of ideas	materials for reasoning	impossibility	intellect>formation of ideas>materials for reasoning>impossibility	471	фраз. сполучення	що-небудь незвичайне.  * У порівняннях	Перед очима [Ганни], наче сон наяву, зовсім несподівано випливла широка піщана вулиця села	Василь Козаченко, Сальвія, 1959, 6
Хоч (чи) круть, хоч (чи) верть	intellect	formation of ideas	materials for reasoning	certainty	intellect>formation of ideas>materials for reasoning>certainty	474	фраз. сполучення	що не роби, нічого не вдієш	Руба поставив [Тарас] питаная: «Хочеш за мене заміж чи ні?» .. Отут мені, хоч круть, хоч верть	Ігор Муратов, Жила.. вдова, 1960, 71
Набрати (набратись) пересвідчення	intellect	formation of ideas	materials for reasoning	certainty	intellect>formation of ideas>materials for reasoning>certainty	474	фраз. сполучення	переконатися, упевнитися в чому-небудь	Страх хотілося їй з ким побалакати про Михася, набратись пересвідчення, що її намір добрий	Осип Маковей, Вибр., 1954, 84
Випав жереб	intellect	formation of ideas	materials for reasoning	certainty	intellect>formation of ideas>materials for reasoning>certainty	474	фраз. сполучення	судилося, було призначено	Хвільку  ж Джеджалію та Дубу з Крутим Випав жереб тут голови класти, Боронячи тил визволенцям отим Від людської злої напасті	Михайло Старицький, Поет. тв., 1958, 217
Голову (руку) давати на відріз	intellect	formation of ideas	materials for reasoning	certainty	intellect>formation of ideas>materials for reasoning>certainty	474	фраз. сполучення	уживається для запевнення когось у правдивості, правильності сказаного	Голову свою дає вона на відріз, що воно так, а не інакше	Ірина Вільде, Сестри.., 1958, 562
Надвоє баба (бабка) ворожила	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	ідіома	невідомо, що буде	Хіба убогому і на світі не жити? Е, ні, це ще надвоє баба ворожила	Українські народні казки, легенди.., 1957, 324
На роздоріжжі	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	фраз. єдність	у стані нерішучості, важких роздумів, вагань	То було не запитання людини, що опинилась на роздоріжжі. Каргат не просив поради й допомоги	Юрій Шовкопляс, Інженери, 1956, 195
На перепутті	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	фраз. єдність	у стані сумнівів, хитань при виборі подальшого шляху	Не стать, не ждать в путі, на перепутті, А прокладать, торить шляхи, стежки	Петро Дорошко, Літа.., 1957, 58
Плентатися ногами	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	фраз. сполучення	іти важко, невпевнено	Він схопивсь з місця і, плентаючись ногами, всім корпусом рішучо подався до дверей	Степан Васильченко, I, 1959, 258
Ні назад, ні вперед	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	фраз. сполучення	нікуди; немає виходу	За ці коні можна попастися, мов жаба в тенет: ні назад, ні вперед	Михайло Стельмах, I, 1962, 497
Ні тпру ні ну	intellect	formation of ideas	materials for reasoning	uncertainty	intellect>formation of ideas>materials for reasoning>uncertainty	475	фраз. сполучення	про неможливість завершити щось, діяти, робити	Почався отой нудний торг .. Торг завис на дев'яноста карбованцях і далі — ні тпру ні ну	Михайло Стельмах, Щедрий вечір, 1967, 36
Ділити шкуру невбитого ведмедя	intellect	formation of ideas	reasoning processes	reasoning	intellect>formation of ideas>reasoning processes>reasoning	476	фраз. єдність	сперечатися про прибутки, яких ще немає	Вони споряться між собою й ділять шкуру невбитого ведмедя	Юрій Яновський, II, 1954, 50
Нутром чути (відчувати)	intellect	formation of ideas	reasoning processes	intuition & sophistry	intellect>formation of ideas>reasoning processes>intuition & sophistry	477	фраз. сполучення	підсвідомо, інтуїтивно відчувати що-небудь	Душком від тебе антирадянським припахає. — А ти хіба з тих, що принюхуються? — Ні, я з тих, що нутром чують	Григорій Тютюнник, Вир, 1964, 175
Наводити (навести) справки (справку)	intellect	formation of ideas	results of reasoning	discovery	intellect>formation of ideas>results of reasoning>discovery	480a	фраз. єдність	дізнаватися,  довідуватися про кого-, що-небудь	Тепер я не хочу тебе клопотати, а як скінчиш іспити, то попрошу  тебе навести мені деякі справки в Петербурзі, чи не знайдеться якось моя послана в лиху путь стаття про нову драму Гауптмана	Леся Українка, V, 1956, 376
Питати (спитати) броду	intellect	formation of ideas	results of reasoning	discovery	intellect>formation of ideas>results of reasoning>discovery	480a	фраз. єдність	розпитувати людей, дізнаватися про кого-, що-небудь перед тим, як починати щось	Про мене, мамо, спитайте броду, — не будете жалкувать на Нимидору: вона дівчина здорова, робоча	Нечуй-Левицький, II, 1956, 179
Промацати ґрунт	intellect	formation of ideas	results of reasoning	discovery	intellect>formation of ideas>results of reasoning>discovery	480a	фраз. єдність	з'ясувати, уточнити, перевірити можливість чого-небудь	Мамій вирішив ретельно промацати ґрунт щодо можливості одруження з Тетяною	Спиридон Добровольський, Тече річка.., 1961, 220
Прощупати ґрунт	intellect	formation of ideas	results of reasoning	discovery	intellect>formation of ideas>results of reasoning>discovery	480a	фраз. єдність	вияснити, перевірити що-небудь; дізнатися про щось	Бронко зразу зміркував, що через цю.. дівчину можна було б прощупати ґрунт на фабриці Гольдштрома	Ірина Вільде, Сестри.., 1958, 380
Позондувати ґрунт	intellect	formation of ideas	results of reasoning	discovery	intellect>formation of ideas>results of reasoning>discovery	480a	фраз. єдність	попередньо розвідати, з'ясувати що-небудь	Вона просила мене разом з Ванеком позондувати ґрунт у Раді, чи не вдасться через неї дістати зброї для робітничої самоохорони	Петро Колесник, На фронті.., 1959, 144
